Jahr;GW_5.1;GW_5.2
1992;90;35525
1993;65;40267
1994;95;42298
1995;73;23928
1996;58;13797
1997;72;22759
1998;89;18940
1999;125;37633
2000;139;58119
2001;110;11031
2002;104;38695
2003;87;23503
2004;80;33271
2005;78;44575
2006;115;32942
2007;106;59880
2008;103;35495
2009;111;25491
2010;88;23463
2011;70;24945
2012;81;23310
2013;57;25638
2014;87;34416
2015;57;24127
