Jahr;T_1.1
1881;6,7
1882;7,8
1883;7,3
1884;7,9
1885;7,2
1886;7,4
1887;6,2
1888;6,2
1889;6,7
1890;6,7
1891;6,8
1892;6,9
1893;7,3
1894;7,5
1895;6,7
1896;6,8
1897;7,3
1898;7,9
1899;7,4
1900;7,7
1901;6,7
1902;6,4
1903;7,8
1904;7,8
1905;7,3
1906;7,7
1907;7,2
1908;6,8
1909;6,8
1910;7,8
1911;8,5
1912;7,3
1913;7,9
1914;7,8
1915;7,3
1916;7,8
1917;6,8
1918;8
1919;6,6
1920;8
1921;8,2
1922;6,4
1923;7,4
1924;7
1925;7,8
1926;8,2
1927;7,4
1928;7,6
1929;6,8
1930;8,2
1931;7
1932;7,7
1933;6,9
1934;9,1
1935;7,8
1936;7,8
1937;8,1
1938;7,9
1939;7,7
1940;5,9
1941;6,5
1942;6,7
1943;8,4
1944;7,7
1945;8,5
1946;7,8
1947;7,9
1948;8,5
1949;8,6
1950;8
1951;8,3
1952;7,4
1953;8,6
1954;7,2
1955;6,8
1956;6,2
1957;8,1
1958;7,7
1959;8,6
1960;8
1961;8,4
1962;6,5
1963;6,5
1964;7,6
1965;6,9
1966;8
1967;8,4
1968;7,5
1969;7,1
1970;7,1
1971;7,8
1972;7,2
1973;7,5
1974;8,2
1975;8,3
1976;7,9
1977;8,1
1978;7,2
1979;7,1
1980;7
1981;7,5
1982;8,5
1983;8,4
1984;7,3
1985;6,8
1986;7,3
1987;6,6
1988;8,5
1989;8,9
1990;8,8
1991;7,7
1992;8,7
1993;7,8
1994;9,1
1995;8,2
1996;6,4
1997;8,2
1998;8,5
1999;8,9
2000;9,4
2001;8,5
2002;8,8
2003;8,7
2004;8,3
2005;8,4
2006;8,9
2007;9,3
2008;8,9
2009;8,6
2010;7,2
2011;9,1
2012;8,6
2013;8,1
2014;9,8
2015;9,5
